MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
300,M,AUD,AUD,2011-09-22,1.00000,1,1
300,M,AUD,CAD,2011-09-22,1.91541,1,1
300,M,AUD,CHF,2011-09-22,1.97978,1,1
300,M,AUD,EUR,2011-09-22,1.33140,1,1
300,M,AUD,GBP,2011-09-22,0.82593,1,1
300,M,AUD,JPY,2011-09-22,1.47197,1,100
300,M,AUD,SEK,2011-09-22,12.82659,1,1
300,M,AUD,SGD,2011-09-22,2.20321,1,1
300,M,AUD,USD,2011-09-22,1.22147,1,1
300,M,AUD,ZAR,2011-09-22,11.34072,1,1
300,M,CAD,AUD,2011-09-22,0.52208,1,1
300,M,CAD,CAD,2011-09-22,1.00000,1,1
300,M,CAD,CHF,2011-09-22,1.03361,1,1
300,M,CAD,EUR,2011-09-22,0.69510,1,1
300,M,CAD,GBP,2011-09-22,0.43120,1,1
300,M,CAD,JPY,2011-09-22,0.76849,1,100
300,M,CAD,SEK,2011-09-22,6.69653,1,1
300,M,CAD,SGD,2011-09-22,1.15026,1,1
300,M,CAD,USD,2011-09-22,0.63771,1,1
300,M,CAD,ZAR,2011-09-22,5.92078,1,1
300,M,CHF,AUD,2011-09-22,0.50511,1,1
300,M,CHF,CAD,2011-09-22,0.96749,1,1
300,M,CHF,CHF,2011-09-22,1.00000,1,1
300,M,CHF,EUR,2011-09-22,0.67250,1,1
300,M,CHF,GBP,2011-09-22,0.41718,1,1
300,M,CHF,JPY,2011-09-22,0.74350,1,100
300,M,CHF,SEK,2011-09-22,6.47881,1,1
300,M,CHF,SGD,2011-09-22,1.11286,1,1
300,M,CHF,USD,2011-09-22,0.61697,1,1
300,M,CHF,ZAR,2011-09-22,5.72828,1,1
300,M,EUR,AUD,2011-09-22,0.75109,1,1
300,M,EUR,CAD,2011-09-22,1.43864,1,1
300,M,EUR,CHF,2011-09-22,1.48699,1,1
300,M,EUR,EUR,2011-09-22,1.00000,1,1
300,M,EUR,GBP,2011-09-22,0.62035,1,1
300,M,EUR,JPY,2011-09-22,1.10558,1,100
300,M,EUR,SEK,2011-09-22,9.63391,1,1
300,M,EUR,SGD,2011-09-22,1.65481,1,1
300,M,EUR,USD,2011-09-22,0.91743,1,1
300,M,EUR,ZAR,2011-09-22,8.51789,1,1
300,M,GBP,AUD,2011-09-22,1.21076,1,1
300,M,GBP,CAD,2011-09-22,2.31909,1,1
300,M,GBP,CHF,2011-09-22,2.39703,1,1
300,M,GBP,EUR,2011-09-22,1.61200,1,1
300,M,GBP,GBP,2011-09-22,1.00000,1,1
300,M,GBP,JPY,2011-09-22,1.78220,1,100
300,M,GBP,SEK,2011-09-22,15.52987,1,1
300,M,GBP,SGD,2011-09-22,2.66755,1,1
300,M,GBP,USD,2011-09-22,1.47890,1,1
300,M,GBP,ZAR,2011-09-22,13.73083,1,1
300,M,JPY,AUD,2011-09-22,0.67936,100,1
300,M,JPY,CAD,2011-09-22,1.30125,100,1
300,M,JPY,CHF,2011-09-22,1.34498,100,1
300,M,JPY,EUR,2011-09-22,0.90450,100,1
300,M,JPY,GBP,2011-09-22,0.56110,100,1
300,M,JPY,JPY,2011-09-22,1.00000,100,100
300,M,JPY,SEK,2011-09-22,8.71387,100,1
300,M,JPY,SGD,2011-09-22,1.49677,100,1
300,M,JPY,USD,2011-09-22,0.82982,100,1
300,M,JPY,ZAR,2011-09-22,7.70443,100,1
300,M,SEK,AUD,2011-09-22,0.07796,1,1
300,M,SEK,CAD,2011-09-22,0.14933,1,1
300,M,SEK,CHF,2011-09-22,0.15435,1,1
300,M,SEK,EUR,2011-09-22,0.10380,1,1
300,M,SEK,GBP,2011-09-22,0.06439,1,1
300,M,SEK,JPY,2011-09-22,0.11476,1,100
300,M,SEK,SEK,2011-09-22,1.00000,1,1
300,M,SEK,SGD,2011-09-22,0.17177,1,1
300,M,SEK,USD,2011-09-22,0.09523,1,1
300,M,SEK,ZAR,2011-09-22,0.88416,1,1
300,M,SGD,AUD,2011-09-22,0.45388,1,1
300,M,SGD,CAD,2011-09-22,0.86937,1,1
300,M,SGD,CHF,2011-09-22,0.89859,1,1
300,M,SGD,EUR,2011-09-22,0.60430,1,1
300,M,SGD,GBP,2011-09-22,0.37488,1,1
300,M,SGD,JPY,2011-09-22,0.66810,1,100
300,M,SGD,SEK,2011-09-22,5.82177,1,1
300,M,SGD,SGD,2011-09-22,1.00000,1,1
300,M,SGD,USD,2011-09-22,0.55440,1,1
300,M,SGD,ZAR,2011-09-22,5.14736,1,1
300,M,USD,AUD,2011-09-22,0.81869,1,1
300,M,USD,CAD,2011-09-22,1.56812,1,1
300,M,USD,CHF,2011-09-22,1.62082,1,1
300,M,USD,EUR,2011-09-22,1.09000,1,1
300,M,USD,GBP,2011-09-22,0.67618,1,1
300,M,USD,JPY,2011-09-22,1.20509,1,100
300,M,USD,SEK,2011-09-22,10.50096,1,1
300,M,USD,SGD,2011-09-22,1.80374,1,1
300,M,USD,USD,2011-09-22,1.00000,1,1
300,M,USD,ZAR,2011-09-22,9.28450,1,1
300,M,ZAR,AUD,2011-09-22,0.08818,1,1
300,M,ZAR,CAD,2011-09-22,0.16890,1,1
300,M,ZAR,CHF,2011-09-22,0.17457,1,1
300,M,ZAR,EUR,2011-09-22,0.11740,1,1
300,M,ZAR,GBP,2011-09-22,0.07283,1,1
300,M,ZAR,JPY,2011-09-22,0.12980,1,100
300,M,ZAR,SEK,2011-09-22,1.13102,1,1
300,M,ZAR,SGD,2011-09-22,0.19427,1,1
300,M,ZAR,USD,2011-09-22,0.10771,1,1
300,M,ZAR,ZAR,2011-09-22,1.00000,1,1
