MANDT,CARRID,CONNID,FLDATE,BOOKID,CUSTOMID,TICKET,PLACE,ARCHIVE_
300,LH,402,2012-01-09,116914,2272,O,AIRPORT,
300,UA,3516,2011-07-19,117491,2272,O,AIRPORT,
300,UA,3516,2011-08-09,118879,2272,O,AIRPORT,
300,AZ,790,2010-07-28,118602,2272,O,AIRPORT,
300,AZ,791,2011-04-07,154018,2272,O,AIRPORT,
300,LH,455,2010-06-28,148023,2272,O,AIRPORT,
300,LH,455,2011-04-18,158600,2769,O,AIRPORT,
300,AZ,791,2010-10-14,147727,2272,O,AIRPORT,
300,AZ,790,2011-08-03,134995,2769,O,AIRPORT,
300,AZ,791,2010-09-23,146921,2272,O,AIRPORT,
300,LH,454,2011-07-23,138166,2769,O,AIRPORT,
300,UA,3517,2011-02-21,147381,2272,O,AIRPORT,
300,AZ,790,2011-08-31,136465,2769,O,AIRPORT,
300,AZ,791,2010-12-16,150010,2272,O,AIRPORT,
300,LH,454,2011-06-11,136197,2769,O,AIRPORT,
300,LH,455,2010-07-12,148700,2272,O,AIRPORT,
300,UA,3517,2010-09-06,136807,2769,O,AIRPORT,
300,AZ,791,2011-09-22,159873,2272,O,AIRPORT,
300,LH,454,2011-04-16,133784,2769,O,AIRPORT,
300,LH,455,2011-08-01,162208,2272,O,AIRPORT,
300,UA,3517,2010-12-27,143677,2769,O,AIRPORT,
300,LH,455,2011-07-25,162027,2272,O,AIRPORT,
300,UA,3517,2010-10-11,139161,2769,O,AIRPORT,
300,LH,455,2011-01-31,155946,2272,O,AIRPORT,
300,UA,3517,2010-11-29,141929,2769,O,AIRPORT,
300,UA,3517,2011-07-11,155791,2272,O,AIRPORT,
300,LH,454,2011-09-24,141283,2769,O,AIRPORT,
300,AZ,791,2011-08-04,158176,2272,O,AIRPORT,
300,UA,3517,2012-04-23,166624,2769,O,AIRPORT,
300,UA,3517,2011-08-08,157489,2272,O,AIRPORT,
300,UA,3517,2011-11-28,164903,2769,O,AIRPORT,
300,AZ,790,2011-08-17,135907,2272,O,AIRPORT,
300,UA,3517,2011-11-14,164339,2769,O,AIRPORT,
300,UA,3517,2010-09-20,137559,2272,O,AIRPORT,
300,LH,2462,2011-10-28,265983,2769,O,AIRPORT,
300,UA,3517,2010-09-20,137667,2272,O,AIRPORT,
300,LH,2462,2011-11-18,266637,2769,O,AIRPORT,
300,AZ,790,2011-09-14,137128,2272,O,AIRPORT,
300,LH,2462,2011-09-16,264178,2769,O,AIRPORT,
300,AZ,790,2011-04-20,130386,2272,O,AIRPORT,
300,LH,2462,2011-02-11,256132,2769,O,AIRPORT,
300,LH,454,2011-11-26,144204,2272,O,AIRPORT,
300,LH,2463,2010-12-11,276239,2769,O,AIRPORT,
300,LH,455,2010-04-26,145878,2272,O,AIRPORT,
300,LH,2463,2010-10-30,274757,2769,O,AIRPORT,
300,UA,3517,2010-10-18,139492,2272,O,AIRPORT,
300,LH,2463,2011-02-19,278813,2769,O,AIRPORT,
300,LH,454,2011-09-03,140096,2272,O,AIRPORT,
300,LH,2463,2010-06-26,270307,2769,O,AIRPORT,
300,LH,2462,2011-11-04,266027,2272,O,AIRPORT,
300,LH,2436,2011-05-14,240460,2769,O,AIRPORT,
300,LH,2462,2011-02-18,256419,2272,O,AIRPORT,
300,LH,2415,2011-08-12,227922,2769,O,AIRPORT,
300,LH,2462,2011-04-22,258634,2272,O,AIRPORT,
300,LH,2415,2011-10-21,230356,2769,O,AIRPORT,
300,LH,2462,2011-04-15,258528,2272,O,AIRPORT,
300,LH,2462,2010-06-25,247903,2769,O,AIRPORT,
300,LH,2463,2010-05-29,269359,2272,O,AIRPORT,
300,LH,2462,2010-05-28,247000,2769,O,AIRPORT,
300,LH,2463,2010-05-22,269132,2272,O,AIRPORT,
300,LH,3577,2011-09-24,309590,2769,O,AIRPORT,
300,LH,2463,2010-08-28,272570,2272,O,AIRPORT,
300,LH,3577,2011-10-29,311284,2769,O,AIRPORT,
300,LH,2436,2010-09-04,235262,2272,O,AIRPORT,
300,LH,2463,2011-10-01,287380,2769,O,AIRPORT,
300,LH,2436,2011-01-01,237807,2272,O,AIRPORT,
300,LH,2463,2011-07-02,283533,2769,O,AIRPORT,
300,LH,2415,2011-10-07,229954,2272,O,AIRPORT,
300,LH,2462,2010-10-08,251625,2272,O,AIRPORT,
300,LH,2463,2011-05-21,282140,2769,O,AIRPORT,
300,LH,2462,2010-06-18,247586,2272,O,AIRPORT,
300,LH,3577,2011-03-26,302839,2769,O,AIRPORT,
300,LH,3577,2011-09-17,309345,2272,O,AIRPORT,
300,LH,3577,2011-03-19,302538,2769,O,AIRPORT,
300,LH,2463,2011-12-10,289532,2272,O,AIRPORT,
300,LH,3577,2010-09-11,295883,2769,O,AIRPORT,
300,LH,3577,2010-07-03,293375,2272,O,AIRPORT,
300,LH,3577,2011-01-01,299949,2769,O,AIRPORT,
300,LH,2463,2011-05-28,282247,2272,O,AIRPORT,
300,LH,2407,2011-03-12,202220,2769,O,AIRPORT,
300,LH,2463,2011-05-21,282173,2272,O,AIRPORT,
300,LH,2402,2012-01-28,190189,2769,O,AIRPORT,
300,LH,2463,2011-08-28,285973,2272,O,AIRPORT,
300,LH,2402,2011-10-08,187791,2769,O,AIRPORT,
300,LH,3577,2011-02-19,301641,2272,O,AIRPORT,
300,LH,2407,2011-10-29,210960,2769,O,AIRPORT,
300,LH,3577,2010-09-11,295824,2272,O,AIRPORT,
300,LH,2407,2011-07-30,207238,2769,O,AIRPORT,
300,LH,3577,2010-11-06,297929,2272,O,AIRPORT,
300,LH,2415,2010-07-09,215563,2769,O,AIRPORT,
300,LH,3577,2010-12-04,298873,2272,O,AIRPORT,
300,LH,2407,2011-11-19,211954,2769,O,AIRPORT,
300,LH,2407,2011-01-08,200111,2272,O,AIRPORT,
300,LH,2402,2011-07-02,183840,2769,O,AIRPORT,
300,LH,2407,2011-01-08,199982,2272,O,AIRPORT,
300,LH,2402,2010-11-06,175372,2769,O,AIRPORT,
300,LH,2402,2011-11-05,188800,2272,O,AIRPORT,
300,QF,5,2011-03-04,19843,794,O,AIRPORT,
300,LH,2407,2010-09-11,195705,2272,O,AIRPORT,
300,LH,400,2011-02-26,19550,794,O,AIRPORT,
300,LH,2407,2010-10-09,196829,2272,O,AIRPORT,
300,LH,400,2010-07-17,5380,794,O,AIRPORT,
300,LH,2407,2010-10-09,196916,2272,O,AIRPORT,
300,JL,407,2011-08-05,20991,794,O,AIRPORT,
300,LH,2407,2010-06-26,193163,2272,O,AIRPORT,
300,LH,400,2011-02-05,17876,794,O,AIRPORT,
300,LH,2415,2010-08-20,216715,2272,O,AIRPORT,
300,DL,106,2010-05-24,1773,794,O,AIRPORT,
300,LH,2415,2011-04-08,224062,2272,O,AIRPORT,
300,JL,407,2011-05-06,16906,794,O,AIRPORT,
300,LH,2415,2011-02-25,222570,2272,O,AIRPORT,
300,AZ,555,2011-02-09,18626,794,O,AIRPORT,
300,LH,2415,2011-03-18,223322,2272,O,AIRPORT,
300,LH,400,2011-02-12,18626,794,O,AIRPORT,
300,LH,2407,2011-11-05,211336,2272,O,AIRPORT,
300,DL,106,2011-02-14,18705,794,O,AIRPORT,
300,LH,2415,2010-08-06,216329,2272,O,AIRPORT,
300,AA,17,2010-07-07,4851,794,O,AIRPORT,
300,LH,2402,2011-03-26,180349,2272,O,AIRPORT,
300,AZ,555,2011-05-11,24301,794,O,AIRPORT,
300,LH,2402,2011-03-05,179541,2272,O,AIRPORT,
300,AZ,555,2011-05-11,24331,794,O,AIRPORT,
300,LH,2402,2011-09-17,186718,2272,O,AIRPORT,
300,QF,5,2010-07-09,4932,794,O,AIRPORT,
300,LH,2402,2010-07-24,171572,2272,O,AIRPORT,
300,AZ,555,2010-06-30,4724,794,O,AIRPORT,
300,LH,2402,2010-04-24,168311,2272,O,AIRPORT,
